Date,Open,High,Low,Close,Volume,tick
45674.66667,85.98,86.5,85.21,85.81,3617565,NFLX
45678.66667,86.35,91.64,85.47,86.97,9851351,NFLX
45679.66667,99.8,99.9,95.08,95.4,14273205,NFLX
45680.66667,95.78,98.5,95.39,98.49,7752137,NFLX
45681.66667,98.44,98.63,96.77,97.76,4550397,NFLX
45684.66667,97.11,98.23,96.03,97.19,4634204,NFLX
45685.66667,96.67,97.79,95.73,97.18,3433972,NFLX
45686.66667,98,98.76,96.82,97.82,2930728,NFLX
45687.66667,98.68,99.46,97,97.32,3867825,NFLX
45688.66667,97.4,99.03,97.4,97.68,3618718,NFLX
45691.66667,97.3,98.77,96.44,97.89,3724197,NFLX
45692.66667,98.05,100.8,97.85,99.49,6000137,NFLX
45693.66667,98.77,101.18,98.67,101.11,3997733,NFLX
45694.66667,100.79,101.64,100.26,101.57,3134293,NFLX
45695.66667,101.7,102.78,100.57,101.39,3212853,NFLX
45698.66667,102.31,103.29,101.59,102.76,3296566,NFLX
45699.66667,102.08,102.27,100.3,100.81,3331797,NFLX
45700.66667,100.55,102.77,99.83,102.73,3388966,NFLX
45701.66667,102.66,104.6,102.51,104.37,3476068,NFLX
45702.66667,104.5,106.45,104.17,105.86,3145430,NFLX
45706.66667,106,106.2,102.37,103.59,4229339,NFLX
45707.66667,103.52,104.5,102.45,104.33,2600048,NFLX
45708.66667,104.2,104.5,101.56,102.45,3111831,NFLX
45709.66667,102.94,103.24,99.94,100.32,3738710,NFLX
45712.66667,100.8,101.52,98.45,98.85,4426227,NFLX
45713.66667,98.94,99.44,95.5,97.72,4738304,NFLX
45714.66667,97.76,100.09,97.69,99.01,3397205,NFLX
45715.66667,99.5,100.07,96.18,96.31,3766566,NFLX
45716.66667,96.96,98.23,95.82,98.06,4717409,NFLX
45719.66667,98.3,99.49,96.48,97.37,3907447,NFLX
45720.66667,97.16,98.63,94.82,97.26,4392814,NFLX
45721.66667,97.36,99.56,96.95,99.09,3807935,NFLX
45722.66667,97.3,97.37,89.9,90.64,7852559,NFLX
45723.66667,89.76,90.49,85.81,89.11,7737488,NFLX
45726.66667,87.51,88.13,85.45,86.67,6995309,NFLX
45727.66667,86.74,91.07,86.6,89.51,7398934,NFLX
45728.66667,91.46,92.72,90.1,91.97,6865837,NFLX
45729.66667,91.3,92.19,88.75,89.02,5001698,NFLX
45730.66667,90.15,91.96,90.1,91.8,5200684,NFLX
45733.66667,94,96.76,93.44,95,7543146,NFLX
45734.66667,94,94.82,91.63,93,6009400,NFLX
45735.66667,93.58,96.8,92.4,95.95,6662361,NFLX
45736.66667,95,96.7,94.55,95.08,4466305,NFLX
45737.66667,94.16,96.37,94.1,96.03,5905429,NFLX
45740.66667,96.97,97.7,95.16,97.2,4677871,NFLX
45741.66667,97.82,99.87,97.71,99.73,3782245,NFLX
45742.66667,99.38,99.68,96.63,97.07,3534707,NFLX
45743.66667,97.42,98.9,96.64,97.67,3047237,NFLX
45744.66667,97.2,97.5,92.92,93.39,4422717,NFLX
45747.66667,92.05,93.45,90.06,93.25,4634075,NFLX
45748.66667,92.75,93.23,91.15,92.84,3519956,NFLX
45749.66667,92.3,94.95,91.61,93.55,3256886,NFLX
45750.66667,90.18,94.66,90.05,91.71,5864622,NFLX
45751.66667,89.65,90.66,85.39,85.59,6798806,NFLX
45754.66667,82.78,90.67,82.11,86.78,6656823,NFLX
45755.66667,91.24,92.24,85.77,87.04,5625382,NFLX
45756.66667,85.59,95.14,85.44,94.55,7497974,NFLX
45757.66667,93.19,94.12,89.4,92.12,5129755,NFLX
45758.66667,92,94.49,90.67,91.83,4073638,NFLX
45761.66667,93.27,94.9,91.95,93.13,4035895,NFLX
45762.66667,95,99.34,94.8,97.63,7711982,NFLX
45763.66667,97.63,98.12,94.92,96.16,6066113,NFLX
45764.66667,96.9,98.47,95.6,97.3,8893735,NFLX
45768.66667,98.44,101.9,97.31,98.79,9775747,NFLX
45769.66667,100.53,106.5,100.45,104.03,9368873,NFLX
45770.66667,104.72,106.13,103.2,104.96,6471876,NFLX
45771.66667,104.8,110.1,104.7,109.69,6381896,NFLX
45772.66667,109.7,110.68,109.1,110.15,3950008,NFLX
45775.66667,110,111.4,108.26,111.04,3831088,NFLX
45776.66667,110.39,112.78,109.55,112.56,3777329,NFLX
45777.66667,111.27,113.32,110.11,113.17,4266676,NFLX
45778.66667,112.25,114.24,111.18,113.35,3499497,NFLX
45779.66667,113.67,115.94,113.33,115.65,3774282,NFLX
45782.66667,111.48,114.4,110.7,113.41,5662317,NFLX
45783.66667,112.94,114.77,112.64,113.77,3256682,NFLX
45784.66667,113.92,116.4,113.8,115.54,4352394,NFLX
45785.66667,116.16,116.23,113.92,114.44,3760872,NFLX
45786.66667,114.71,115.1,113.32,114.02,2569633,NFLX
45789.66667,112.43,113,110.29,111,6479079,NFLX
45790.66667,111.45,114.79,110.63,113.84,3997869,NFLX
45791.66667,112.96,115.29,112.84,115.1,3910147,NFLX
45792.66667,114.77,118.78,114.76,117.8,4464041,NFLX
45793.66667,119.31,119.65,117.94,119.15,4698353,NFLX
45796.66667,117.36,119.16,117.17,119.16,2853415,NFLX
45797.66667,118.68,119.3,117.9,119.2,2133066,NFLX
45798.66667,118.65,121.12,118.65,119.46,2976610,NFLX
45799.66667,119.24,119.87,118.72,118.8,1861588,NFLX
45800.66667,118.4,119.15,117.94,118.54,2186483,NFLX
45804.66667,119.53,121.18,119.31,121.16,2920469,NFLX
45805.66667,121.03,121.59,120.6,120.86,1855850,NFLX
45806.66667,120.8,120.9,117.63,118.49,3303079,NFLX
45807.66667,119.83,121.18,118.09,120.72,4696756,NFLX
45810.66667,120.12,121.94,119.63,121.9,2294216,NFLX
45811.66667,121.99,122.96,121.12,121.79,2363762,NFLX
45812.66667,122.07,124.26,121.99,123.97,2359381,NFLX
45813.66667,124.06,126.28,123.73,125.05,2821797,NFLX
45814.66667,125.94,126,123.56,124.15,2556956,NFLX
45817.66667,123.89,123.89,122.16,122.45,2403117,NFLX
45818.66667,122.75,122.75,118.06,120.36,4454447,NFLX
45819.66667,120.26,122.83,119.6,121.99,2382280,NFLX
45820.66667,122.26,123,121.2,121.5,2084602,NFLX
45821.66667,120.66,122.06,120.19,121.22,2210253,NFLX
45824.66667,121.22,122.63,121.22,122.54,2112797,NFLX
45825.66667,122,123.24,121.61,122.07,1892126,NFLX
45826.66667,123,124.2,122.05,122.23,2281047,NFLX
45828.66667,123.45,124.85,122.43,123.14,5348193,NFLX
45831.66667,123.8,125.48,121.5,125.35,2667318,NFLX
45832.66667,126.05,128.26,125.5,127.91,2663307,NFLX
45833.66667,128.68,129.8,127.38,127.53,2146510,NFLX
45834.66667,128,130.73,128,130.67,2605870,NFLX
45835.66667,130.69,133.13,130.1,132.31,4070857,NFLX
45838.66667,133.1,134.12,132.12,133.91,3282908,NFLX
45839.66667,133.82,133.88,128.22,129.36,4993567,NFLX
45840.66667,129.7,129.99,127.16,128.49,3048801,NFLX
45841.54514,129.2,130.23,127.98,129.72,2006224,NFLX
45845.66667,129.5,129.5,127.6,128.96,2273737,NFLX
45846.66667,129.09,129.32,126,127.53,3292525,NFLX
45847.66667,127.4,128.83,126.62,128.83,2384477,NFLX
45848.66667,128.55,128.96,124.6,125.06,4236494,NFLX
45849.66667,125.98,126.1,123.13,124.51,3957150,NFLX
45852.66667,124.49,127.05,124,126.2,2781048,NFLX
45853.66667,126.2,127.12,124.32,126.03,2801731,NFLX
45854.66667,126.17,127.1,124.98,125.03,3227022,NFLX
45855.66667,125.3,127.75,124.48,127.42,6469877,NFLX
45856.66667,124.2,124.65,120.1,120.92,10693306,NFLX
45859.66667,120.6,123.71,119.8,123.33,5627591,NFLX
45860.66667,123.04,123.24,118.75,119.01,5062970,NFLX
45861.66667,118.98,119.26,117.36,117.68,4504264,NFLX
45862.66667,117.78,118.35,116.27,118.08,3845570,NFLX
45863.66667,117.84,118.73,117.44,118.05,2629260,NFLX
45866.66667,118.12,119.78,116.85,117.46,3446958,NFLX
45867.66667,117.9,117.96,116.33,116.87,2752489,NFLX
45868.66667,116.86,118.49,116.61,118.42,2922731,NFLX
45869.66667,118.48,119,115.77,115.94,3712949,NFLX
45870.66667,116.3,117.85,115.29,115.86,3890950,NFLX
45873.66667,116.77,117.7,116.26,117.1,2244702,NFLX
45874.66667,117.1,117.17,114.47,114.79,2660735,NFLX
45875.66667,115.35,118.14,115.19,117.85,3362161,NFLX
45876.66667,118.18,119.12,116.82,118.04,2628321,NFLX
45877.66667,118.32,121.41,118.04,121.16,3816689,NFLX
45880.66667,121.4,122.31,120.19,121.83,2455648,NFLX
45881.66667,122.5,123.2,120.65,122.53,2282627,NFLX
45882.66667,123.4,123.71,120.3,120.44,2762355,NFLX
45883.66667,120.99,124.41,120.7,123.06,3904668,NFLX
45884.66667,123.4,124.69,122.79,123.9,2767804,NFLX
45887.66667,123.56,125.12,123.55,124.51,2111087,NFLX
45888.66667,124.02,124.1,119.28,121.42,3707731,NFLX
45889.66667,121.8,122.3,119.33,121.39,2434398,NFLX
45890.66667,121.14,122.14,119.76,120.62,2047178,NFLX
45891.66667,120.89,121.36,119.82,120.47,3128133,NFLX
45894.66667,120.17,123.38,119.9,121.81,2812036,NFLX
45895.66667,122.02,123.15,121.22,122.61,1985714,NFLX
45896.66667,122.36,122.92,121.3,122.35,1664526,NFLX
45897.66667,122.28,123.79,121.43,123.15,1950336,NFLX
45898.66667,122.8,122.88,120.12,120.83,3209817,NFLX
45902.66667,119.7,121.54,118.28,121.41,2303269,NFLX
45903.66667,120.51,122.7,120.34,122.62,2471495,NFLX
45904.66667,122.32,125.75,122.31,125.75,3023506,NFLX
45905.66667,126,126.71,123.9,124.38,2379673,NFLX
45908.66667,124.85,125.2,123.2,124.48,1915053,NFLX
45909.66667,124.67,126.57,124.67,126.33,2219655,NFLX
45910.66667,126.4,126.7,124.64,124.77,2701015,NFLX
45911.66667,125.1,125.34,119.2,120.35,5682286,NFLX
45912.66667,120.31,121.18,118.24,118.84,3784944,NFLX
45915.66667,118.84,120.72,117.32,120.23,2909277,NFLX
45916.66667,120.56,120.9,119.73,120.05,2404686,NFLX
45917.66667,122.1,123.39,120.66,122.85,3459796,NFLX
45918.66667,122.08,123.3,120.55,120.78,3169105,NFLX
45919.66667,121.86,122.99,120.81,122.7,4947590,NFLX
45922.66667,122.19,122.98,121.42,122.74,2546814,NFLX
45923.66667,122.73,122.78,120.85,121.85,2499146,NFLX
45924.66667,121.86,122.15,119.42,120.4,2773127,NFLX
45925.66667,120.31,121.68,119.15,120.82,1997783,NFLX
45926.66667,120.54,121.4,120,121.06,1944957,NFLX
45929.66667,120.5,122.45,118.75,120.64,3033174,NFLX
45930.66667,120.64,120.85,117.8,119.89,3830304,NFLX
45931.66667,117.55,117.91,116.32,117.09,4110221,NFLX
45932.66667,116.15,116.33,113.4,116.25,4685467,NFLX
45933.66667,116.5,116.8,114.32,115.33,3137365,NFLX
45936.66667,116.04,116.36,114.55,116.33,2968596,NFLX
45937.66667,117.78,120.14,117.75,119.11,3309094,NFLX
45938.66667,119.71,121.74,119.2,121.43,2851353,NFLX
45939.66667,121.43,123.75,121.18,123.11,2824077,NFLX
45940.66667,122.9,124.7,121.91,122.01,4279776,NFLX
45943.66667,122.14,123.11,120.68,121.9,2460783,NFLX
45944.66667,121.48,122.43,120.31,121.54,2362446,NFLX
